number,manufacturer,flossId,description,red,green,blue
3713,DMC,DMC-3713,Salmon Very Light,255,226,226
761,DMC,DMC-761,Salmon Light,255,201,201
760,DMC,DMC-760,Salmon,245,173,173
3712,DMC,DMC-3712,Salmon Medium,241,135,135
3328,DMC,DMC-3328,Salmon Dark,227,109,109
347,DMC,DMC-347,Salmon Very Dark,191,45,45
353,DMC,DMC-353,Peach,254,215,204
352,DMC,DMC-352,Coral Light,253,156,151
351,DMC,DMC-351,Coral,233,106,103
350,DMC,DMC-350,Coral Medium,224,72,72
349,DMC,DMC-349,Coral Dark,210,16,53
817,DMC,DMC-817,Coral Red Very Dark,187,5,31
3708,DMC,DMC-3708,Melon Light,255,203,213
3706,DMC,DMC-3706,Melon Medium,255,173,188
3705,DMC,DMC-3705,Melon Dark,255,121,146
3801,DMC,DMC-3801,Melon Very Dark,231,73,103
666,DMC,DMC-666,Bright Red,227,29,66
321,DMC,DMC-321,Red,199,43,59
304,DMC,DMC-304,Red Medium,183,31,51
498,DMC,DMC-498,Red Dark,167,19,43
816,DMC,DMC-816,Garnet,151,11,35
815,DMC,DMC-815,Garnet Medium,135,7,31
814,DMC,DMC-814,Garnet Dark,123,0,27
894,DMC,DMC-894,Carnation Very Light,255,178,187
893,DMC,DMC-893,Carnation Light,252,144,162
892,DMC,DMC-892,Carnation Medium,255,121,140
891,DMC,DMC-891,Carnation Dark,255,87,115
818,DMC,DMC-818,Baby Pink,255,223,217
957,DMC,DMC-957,Geranium Pale,253,181,181
956,DMC,DMC-956,Geranium,255,145,145
963,DMC,DMC-963,Dusty Rose Ult Vy Lt,255,215,215
3716,DMC,DMC-3716,Dusty Rose Med Vy Lt,255,189,189
962,DMC,DMC-962,Dusty Rose Medium,230,138,138
961,DMC,DMC-961,Dusty Rose Dark,207,115,115
3833,DMC,DMC-3833,Raspberry Light,234,134,153
3832,DMC,DMC-3832,Raspberry Medium,219,85,110
3831,DMC,DMC-3831,Raspberry Dark,179,47,72
777,DMC,DMC-777,Raspberry Very Dark,145,53,70
819,DMC,DMC-819,Baby Pink Light,255,238,235
3326,DMC,DMC-3326,Rose Light,251,173,180
776,DMC,DMC-776,Pink Medium,252,176,185
899,DMC,DMC-899,Rose Medium,242,118,136
335,DMC,DMC-335,Rose,238,84,110
326,DMC,DMC-326,Rose Very Dark,179,59,75
151,DMC,DMC-151,Dusty Rose Vry Lt,240,206,212
3354,DMC,DMC-3354,Dusty Rose Light,228,166,172
3733,DMC,DMC-3733,Dusty Rose,232,135,155
3731,DMC,DMC-3731,Dusty Rose Very Dark,218,103,131
3350,DMC,DMC-3350,Dusty Rose Ultra Dark,188,67,101
150,DMC,DMC-150,Dusty Rose Ult Vy Dk,171,2,73
3689,DMC,DMC-3689,Mauve Light,251,191,194
3688,DMC,DMC-3688,Mauve Medium,231,169,172
3687,DMC,DMC-3687,Mauve,201,107,112
3803,DMC,DMC-3803,Mauve Dark,171,51,87
3685,DMC,DMC-3685,Mauve Very Dark,136,21,49
605,DMC,DMC-605,Cranberry Very Light,255,192,205
604,DMC,DMC-604,Cranberry Light,255,176,190
603,DMC,DMC-603,Cranberry,255,164,190
602,DMC,DMC-602,Cranberry Medium,226,72,116
601,DMC,DMC-601,Cranberry Dark,209,40,106
600,DMC,DMC-600,Cranberry Very Dark,205,47,99
3806,DMC,DMC-3806,Cyclamen Pink Light,255,140,174
3805,DMC,DMC-3805,Cyclamen Pink,243,71,139
3804,DMC,DMC-3804,Cyclamen Pink Dark,224,40,118
3609,DMC,DMC-3609,Plum Ultra Light,244,174,213
3608,DMC,DMC-3608,Plum Very Light,234,156,196
3607,DMC,DMC-3607,Plum Light,197,73,137
718,DMC,DMC-718,Plum,156,36,98
917,DMC,DMC-917,Plum Medium,155,19,89
915,DMC,DMC-915,Plum Dark,130,0,67
225,DMC,DMC-225,Shell Pink Ult Vy Lt,255,223,213
224,DMC,DMC-224,Shell Pink Very Light,235,183,175
152,DMC,DMC-152,Shell Pink Med Light,226,160,153
223,DMC,DMC-223,Shell Pink Light,204,132,124
3722,DMC,DMC-3722,Shell Pink Med,188,108,100
3721,DMC,DMC-3721,Shell Pink Dark,161,75,81
221,DMC,DMC-221,Shell Pink Vy Dk,136,62,67
778,DMC,DMC-778,Antique Mauve Vy Lt,223,179,187
3727,DMC,DMC-3727,Antique Mauve Light,219,169,178
316,DMC,DMC-316,Antique Mauve Med,183,115,127
3726,DMC,DMC-3726,Antique Mauve Dark,155,91,102
315,DMC,DMC-315,Antique Mauve Md Dk,129,73,82
3802,DMC,DMC-3802,Antique Mauve Vy Dk,113,65,73
902,DMC,DMC-902,Garnet Very Dark,130,38,55
3743,DMC,DMC-3743,Antique Violet Vy Lt,215,203,211
3042,DMC,DMC-3042,Antique Violet Light,183,157,167
3041,DMC,DMC-3041,Antique Violet Medium,149,111,124
3740,DMC,DMC-3740,Antique Violet Dark,120,87,98
3836,DMC,DMC-3836,Grape Light,186,145,170
3835,DMC,DMC-3835,Grape Medium,148,96,131
3834,DMC,DMC-3834,Grape Dark,114,55,93
154,DMC,DMC-154,Grape Very Dark,87,36,51
211,DMC,DMC-211,Lavender Light,227,203,227
210,DMC,DMC-210,Lavender Medium,195,159,195
209,DMC,DMC-209,Lavender Dark,163,123,167
208,DMC,DMC-208,Lavender Very Dark,131,91,139
3837,DMC,DMC-3837,Lavender Ultra Dark,108,58,110
327,DMC,DMC-327,Violet Dark,99,54,102
153,DMC,DMC-153,Violet Very Light,230,204,217
554,DMC,DMC-554,Violet Light,219,179,203
553,DMC,DMC-553,Violet,163,99,139
552,DMC,DMC-552,Violet  Medium,128,58,107
550,DMC,DMC-550,Violet Very Dark,92,24,78
3747,DMC,DMC-3747,Blue Violet Vy Lt,211,215,237
341,DMC,DMC-341,Blue Violet Light,183,191,221
156,DMC,DMC-156,Blue Violet Med Lt,163,174,209
340,DMC,DMC-340,Blue Violet Medium,173,167,199
155,DMC,DMC-155,Blue Violet Med Dark,152,145,182
3746,DMC,DMC-3746,Blue Violet Dark,119,107,152
333,DMC,DMC-333,Blue Violet Very Dark,92,84,120
157,DMC,DMC-157,Cornflower Blue Vy Lt,187,195,217
794,DMC,DMC-794,Cornflower Blue Light,143,156,193
793,DMC,DMC-793,Cornflower Blue Med,112,125,162
3807,DMC,DMC-3807,Cornflower Blue,96,103,140
792,DMC,DMC-792,Cornflower Blue Dark,85,91,123
158,DMC,DMC-158,Cornflower Blu M V D,76,82,110
791,DMC,DMC-791,Cornflower Blue V D,70,69,99
3840,DMC,DMC-3840,Lavender Blue Light,176,192,218
3839,DMC,DMC-3839,Lavender Blue Med,123,142,171
3838,DMC,DMC-3838,Lavender Blue Dark,92,114,148
800,DMC,DMC-800,Delft Blue Pale,192,204,222
809,DMC,DMC-809,Delft Blue,148,168,198
799,DMC,DMC-799,Delft Blue Medium,116,142,182
798,DMC,DMC-798,Delft Blue Dark,70,106,142
797,DMC,DMC-797,Royal Blue,19,71,125
796,DMC,DMC-796,Royal Blue Dark,17,65,109
820,DMC,DMC-820,Royal Blue Very Dark,14,54,92
162,DMC,DMC-162,Blue Ultra Very Light,219,236,245
827,DMC,DMC-827,Blue Very Light,189,221,237
813,DMC,DMC-813,Blue Light,161,194,215
826,DMC,DMC-826,Blue Medium,107,158,191
825,DMC,DMC-825,Blue Dark,71,129,165
824,DMC,DMC-824,Blue Very Dark,57,105,135
996,DMC,DMC-996,Electric Blue Medium,48,194,236
3843,DMC,DMC-3843,Electric Blue,20,170,208
995,DMC,DMC-995,Electric Blue Dark,38,150,182
3846,DMC,DMC-3846,Turquoise Bright Light,6,227,230
3845,DMC,DMC-3845,Turquoise Bright Med,4,196,202
3844,DMC,DMC-3844,Turquoise Bright Dark,18,174,186
159,DMC,DMC-159,Blue Gray Light,199,202,215
160,DMC,DMC-160,Blue Gray Medium,153,159,183
161,DMC,DMC-161,Blue Gray,120,128,164
3756,DMC,DMC-3756,Baby Blue Ult Vy Lt,238,252,252
775,DMC,DMC-775,Baby Blue Very Light,217,235,241
3841,DMC,DMC-3841,Baby Blue Pale,205,223,237
3325,DMC,DMC-3325,Baby Blue Light,184,210,230
3755,DMC,DMC-3755,Baby Blue,147,180,206
334,DMC,DMC-334,Baby Blue Medium,115,159,193
322,DMC,DMC-322,Baby Blue Dark,90,143,184
312,DMC,DMC-312,Baby Blue Very Dark,53,102,139
803,DMC,DMC-803,Baby Blue Ult Vy Dk,44,89,124
336,DMC,DMC-336,Navy Blue,37,59,115
823,DMC,DMC-823,Navy Blue Dark,33,48,99
939,DMC,DMC-939,Navy Blue Very Dark,27,40,83
3753,DMC,DMC-3753,Antique Blue Ult Vy Lt,219,226,233
3752,DMC,DMC-3752,Antique Blue Very Lt,199,209,219
932,DMC,DMC-932,Antique Blue Light,162,181,198
931,DMC,DMC-931,Antique Blue Medium,106,133,158
930,DMC,DMC-930,Antique Blue Dark,69,92,113
3750,DMC,DMC-3750,Antique Blue Very Dk,56,76,94
828,DMC,DMC-828,Sky Blue Vy Lt,197,232,237
3761,DMC,DMC-3761,Sky Blue Light,172,216,226
